Source Well,Destination Plate Name,Destination Well,Transfer Volume
D9,1,B2,100
E8,1,B2,100
K12,1,B3,100
D15,1,B3,100
N18,1,B4,100
O14,1,B4,100
D24,1,B5,100
J19,1,B5,100
A7,1,B6,100
C3,1,B6,100
H8,1,B7,100
A13,1,B8,100
J14,1,B8,100
H23,1,B9,100
D24,1,B9,100
D2,1,B10,100
E5,1,B10,100
G21,1,B11,25
P15,1,B11,175
F15,1,B12,100
O21,1,B12,100
C14,1,B13,200
A9,1,B14,100
P4,1,B14,100
C22,1,B15,50
O7,1,B15,50
A20,1,B16,100
O12,1,B16,100
E4,1,B17,100
L2,1,B17,100
E21,1,B18,150
P15,1,B18,50
P15,1,B19,200
P7,1,B20,100
P14,1,B21,100
E20,1,B22,100
G16,1,B22,100
D17,1,B23,100
B24,1,B23,100
N10,1,C2,100
C16,1,C3,100
D4,1,C3,100
L24,1,C4,100
A2,1,C4,100
E10,1,C5,100
M11,1,C5,100
M23,1,C6,100
N9,1,C6,100
H2,1,C7,100
H5,1,C7,100
B20,1,C8,100
I12,1,C9,100
H15,1,C10,100
M4,1,C10,100
K1,1,C11,200
J22,1,C12,100
O8,1,C12,100
D6,1,C13,100
B5,1,C13,100
G21,1,C14,50
P15,1,C14,150
H16,1,C15,200
K10,1,C16,100
I4,1,C16,100
O19,1,C17,200
J15,1,C18,100
D17,1,C18,100
B9,1,C19,200
G9,1,C20,200
M6,1,C21,100
A2,1,C21,100
P11,1,C22,100
J5,1,C22,100
H2,1,C23,200
L8,1,D2,100
K16,1,D2,100
E10,1,D3,25
M11,1,D3,175
B21,1,D4,200
J22,1,D5,100
J23,1,D5,100
P24,1,D6,100
F14,1,D7,100
L18,1,D7,100
D21,1,D8,100
M4,1,D9,200
N10,1,D10,100
J4,1,D10,100
M4,1,D11,100
I23,1,D11,100
P13,1,D12,100
J8,1,D12,100
M15,1,D13,100
P15,1,D13,100
I14,1,D14,100
M24,1,D14,100
F16,1,D15,100
O4,1,D15,100
E12,1,D16,100
L23,1,D16,100
C24,1,D17,100
D4,1,D17,100
P9,1,D18,200
D3,1,D19,100
K17,1,D19,100
E19,1,D20,100
N15,1,D20,100
B11,1,D21,100
I3,1,D21,100
C16,1,D22,200
B14,1,D23,200
E5,1,E2,100
M21,1,E3,100
J8,1,E4,100
P4,1,E4,100
E18,1,E5,150
O21,1,E5,50
L2,1,E6,100
E3,1,E7,100
J16,1,E8,100
P3,1,E8,100
H1,1,E9,100
O18,1,E10,100
D3,1,E10,100
P1,1,E11,100
D19,1,E11,100
E20,1,E12,100
E7,1,E12,100
K12,1,E13,100
O19,1,E13,100
B15,1,E14,100
J9,1,E14,100
J5,1,E15,100
B17,1,E15,100
H10,1,E16,100
G11,1,E16,100
J21,1,E17,200
C24,1,E18,100
D1,1,E18,100
E10,1,E19,25
F17,1,E19,175
M9,1,E20,100
M11,1,E20,100
A8,1,E21,100
L2,1,E21,100
G8,1,E22,100
O20,1,E22,100
F18,1,E23,100
