dest_plate,dest_row,dest_col,dest_well,fwd_idx,rev_idx,fwd_source_well,rev_source_well,well_type,strain1,strain2
1,B,2,B2,31,59,E15,J24,pair,N23,C19
1,B,3,B3,86,24,O5,F2,pair,L24,J2
1,B,4,B4,77,67,M11,L16,pair,N21,J22
1,B,5,B5,39,65,G7,L12,pair,F17,K8
1,B,6,B6,40,5,G9,B12,mono,N23,N23
1,B,7,B7,19,95,C15,P24,pair,E3,A11
1,B,8,B8,12,37,C1,H4,pair,C15,C14
1,B,9,B9,31,22,E15,D22,pair,C8,E3
1,B,10,B10,12,18,C1,D14,pair,C3,F7
1,B,11,B11,79,53,M15,J12,pair,F7,D13
1,B,12,B12,58,77,I21,N12,pair,K10,F2
1,B,13,B13,95,57,O23,J20,pair,L24,K2
1,B,14,B14,47,94,G23,P22,pair,J18,O17
1,B,15,B15,86,32,O5,F18,pair,C19,D13
1,B,16,B16,32,4,E17,B10,pair,I19,N13
1,B,17,B17,9,25,A19,F4,pair,J22,J5
1,B,18,B18,21,37,C19,H4,pair,C15,N13
1,B,19,B19,6,88,A13,P10,pair,B4,N21
1,B,20,B20,13,34,C3,F22,pair,B24,F7
1,B,21,B21,39,55,G7,J16,pair,K3,K8
1,B,22,B22,51,44,I7,H18,pair,B12,E24
1,B,23,B23,36,78,G1,N14,pair,O17,B12
1,C,2,C2,10,69,A21,L20,pair,K10,P11
1,C,3,C3,31,64,E15,L10,pair,L23,P13
1,C,4,C4,14,6,C5,B14,pair,P8,N10
1,C,5,C5,59,67,I23,L16,pair,B7,P8
1,C,6,C6,3,63,A7,L8,pair,N24,C11
1,C,7,C7,70,47,K21,H24,pair,C8,P14
1,C,8,C8,66,14,K13,D6,pair,E24,K2
1,C,9,C9,76,46,M9,H22,pair,B7,O10
1,C,10,C10,17,42,C11,H14,pair,K3,P20
1,C,11,C11,65,64,K11,L10,pair,N24,A11
1,C,12,C12,73,42,M3,H14,pair,P23,G5
1,C,13,C13,93,2,O19,B6,pair,A5,N14
1,C,14,C14,82,50,M21,J6,pair,J24,P13
1,C,15,C15,36,43,G1,H16,pair,F17,K3
1,C,16,C16,5,75,A11,N8,pair,D6,K8
1,C,17,C17,67,79,K15,N16,pair,I19,C15
1,C,18,C18,49,72,I3,N2,pair,N19,O24
1,C,19,C19,83,31,M23,F16,pair,P8,C14
1,C,20,C20,18,35,C13,F24,pair,J18,F17
1,C,21,C21,36,48,G1,J2,pair,N24,P1
1,C,22,C22,50,12,I5,D2,pair,B15,C14
1,C,23,C23,15,6,C7,B14,pair,I19,P17
1,D,2,D2,39,48,G7,J2,pair,P20,P16
1,D,3,D3,83,26,M23,F6,pair,M23,P16
1,D,4,D4,51,5,I7,B12,pair,D3,G8
1,D,5,D5,78,42,M13,H14,pair,F19,A11
1,D,6,D6,48,52,I1,J10,pair,J24,K11
1,D,7,D7,57,56,I19,J18,pair,N23,A11
1,D,8,D8,94,92,O21,P18,pair,N24,M15
1,D,9,D9,54,83,I13,N24,pair,P13,L24
1,D,10,D10,95,86,O23,P6,pair,K6,D11
1,D,11,D11,64,60,K9,L2,pair,J18,G8
1,D,12,D12,23,8,C23,B18,pair,A20,A6
1,D,13,D13,18,84,C13,P2,pair,P11,G8
1,D,14,D14,40,94,G9,P22,pair,P11,F19
1,D,15,D15,92,57,O17,J20,pair,N15,N13
1,D,16,D16,5,81,A11,N20,pair,O17,K17
1,D,17,D17,94,48,O21,J2,pair,L6,N21
1,D,18,D18,44,17,G17,D12,pair,P23,J5
1,D,19,D19,34,89,E21,P12,pair,B7,L23
1,D,20,D20,95,12,O23,D2,pair,K6,L19
1,D,21,D21,65,43,K11,H16,pair,O5,K3
1,D,22,D22,76,67,M9,L16,pair,G17,C20
1,D,23,D23,29,50,E11,J6,pair,C8,E14
1,E,2,E2,16,86,C9,P6,pair,H20,E24
1,E,3,E3,31,40,E15,H10,pair,C12,F16
1,E,4,E4,7,92,A15,P18,pair,M15,C20
1,E,5,E5,48,54,I1,J14,pair,K8,K2
