Source Well,Destination Plate Name,Destination Well,Transfer Volume
G7,9,J16,100
F7,9,J16,100
K23,9,J17,100
A17,9,J17,100
B4,9,J18,100
F9,9,J18,100
I17,9,J19,100
O20,9,J19,100
N4,9,J20,100
I23,9,J20,100
M2,9,J21,100
L10,9,J21,100
K8,9,J22,100
P10,9,J22,100
K5,9,J23,100
J6,9,J23,100
E4,9,K2,100
L24,9,K2,100
K17,9,K3,100
F13,9,K3,100
I23,9,K4,100
I12,9,K4,100
M24,9,K5,100
E5,9,K5,100
I8,9,K6,100
P15,9,K6,100
H15,9,K7,100
B15,9,K7,100
J21,9,K8,100
O24,9,K8,100
J7,9,K9,100
D2,9,K9,100
A10,9,K10,100
C21,9,K10,100
M10,9,K11,100
M16,9,K11,100
O21,9,K12,100
I20,9,K12,100
E13,9,K13,100
L21,9,K13,100
B3,9,K14,100
O19,9,K14,100
N22,9,K15,100
O15,9,K15,100
G3,9,K16,100
A16,9,K16,100
K18,9,K17,100
M18,9,K17,100
P3,9,K18,100
I10,9,K18,100
G3,9,K19,100
G18,9,K19,100
O1,9,K20,100
P8,9,K20,100
H21,9,K21,100
F18,9,K21,100
G22,9,K22,100
K4,9,K22,100
A16,9,K23,100
K14,9,K23,100
C1,9,L2,100
C10,9,L2,100
K9,9,L3,100
M5,9,L3,100
K24,9,L4,100
O24,9,L4,100
O22,9,L5,100
H5,9,L5,100
K20,9,L6,100
H4,9,L6,100
L23,9,L7,100
N8,9,L7,100
E12,9,L8,100
E10,9,L8,100
P18,9,L9,100
N3,9,L9,100
N1,9,L10,100
C18,9,L10,100
C6,9,L11,100
K13,9,L11,100
O2,9,L12,100
H13,9,L12,100
O24,9,L13,100
J12,9,L13,100
B6,9,L14,100
C16,9,L14,100
D22,9,L15,100
I19,9,L15,100
N24,9,L16,100
F4,9,L16,100
E3,9,L17,100
H24,9,L17,100
M7,9,L18,100
K12,9,L18,100
P6,9,L19,100
C19,9,L19,100
M5,9,L20,100
N13,9,L20,100
L8,9,L21,100
E9,9,L21,100
K1,9,L22,100
P20,9,L22,100
D18,9,L23,100
E24,9,L23,100
E22,9,M2,100
O21,9,M2,100
K8,9,M3,100
B6,9,M3,100
O9,9,M4,100
A6,9,M4,100
H12,9,M5,100
F10,9,M5,100
D7,9,M6,100
L13,9,M6,100
I19,9,M7,100
I20,9,M7,100
D20,9,M8,100
D22,9,M8,100
K17,9,M9,100
I1,9,M9,100
I16,9,M10,100
A2,9,M10,100
I20,9,M11,100
N11,9,M11,100
A18,9,M12,100
J11,9,M12,100
N11,9,M13,100
J2,9,M13,100
L16,9,M14,100
A12,9,M14,100
E8,9,M15,100
D10,9,M15,100
P6,9,M16,100
G19,9,M16,100
I22,9,M17,100
A22,9,M17,100
E9,9,M18,100
C13,9,M18,100
H13,9,M19,100
E7,9,M19,100
C7,9,M20,100
B5,9,M20,100
D22,9,M21,100
D15,9,M21,100
A13,9,M22,100
A19,9,M22,100
K11,9,M23,100
O13,9,M23,100
C16,9,N2,100
K20,9,N2,100
P15,9,N3,100
I10,9,N3,100
G15,9,N4,100
E6,9,N4,100
K12,9,N5,100
F11,9,N5,100
J14,9,N6,100
P17,9,N6,100
J22,9,N7,100
O5,9,N7,100
P2,9,N8,100
C24,9,N8,100
E4,9,N9,100
O19,9,N9,100
F17,9,N10,100
H23,9,N10,100
J8,9,N11,100
M4,9,N11,100
M20,9,N12,100
M21,9,N12,100
C12,9,N13,100
N8,9,N13,100
A1,9,N14,100
D3,9,N14,100
G2,9,N15,100
L1,9,N15,100
I23,9,N16,100
A19,9,N16,100
I2,9,N17,100
H16,9,N17,100
N6,9,N18,100
F8,9,N18,100
B1,9,N19,100
L5,9,N19,100
E15,9,N20,100
A13,9,N20,100
C12,9,N21,100
C5,9,N21,100
N11,9,N22,100
A2,9,N22,100
F3,9,N23,100
O13,9,N23,100
G14,9,O2,100
H6,9,O2,100
I24,9,O3,100
F17,9,O3,100
J8,9,O4,100
H22,9,O4,100
A12,9,O5,100
D8,9,O5,100
C12,9,O6,100
N22,9,O6,100
B8,9,O7,100
J24,9,O7,100
G21,9,O8,100
L7,9,O8,100
A6,9,O9,100
H9,9,O9,100
F12,9,O10,100
B21,9,O10,100
G23,9,O11,100
J12,9,O11,100
F24,9,O12,100
M14,9,O12,100
G5,9,O13,100
I23,9,O13,100
P15,9,O14,100
L3,9,O14,100
G4,9,O15,100
F16,9,O15,100
J5,9,O16,100
E17,9,O16,100
J18,9,O17,100
O13,9,O17,100
B15,9,O18,100
G6,9,O18,100
B21,9,O19,100
O22,9,O19,100
M23,9,O20,100
N17,9,O20,100
E14,9,O21,100
J10,9,O21,100
P12,9,O22,100
H13,9,O22,100
M23,9,O23,100
C13,9,O23,100
J13,10,B2,100
O5,10,B2,100
H23,10,B3,100
M13,10,B3,100
B16,10,B4,100
F21,10,B4,100
E9,10,B5,100
J14,10,B5,100
A7,10,B6,100
G16,10,B6,100
D19,10,B7,100
K20,10,B7,100
J15,10,B8,100
C22,10,B8,100
M11,10,B9,100
A5,10,B9,100
L17,10,B10,100
L6,10,B10,100
P19,10,B11,100
E12,10,B11,100
H21,10,B12,100
C17,10,B12,100
E3,10,B13,100
A19,10,B13,100
C1,10,B14,100
C5,10,B14,100
N17,10,B15,100
O9,10,B15,100
A16,10,B16,100
I15,10,B16,100
M19,10,B17,100
P19,10,B17,100
N21,10,B18,100
F18,10,B18,100
C23,10,B19,100
A10,10,B19,100
O11,10,B20,100
H2,10,B20,100
G16,10,B21,100
F15,10,B21,100
G24,10,B22,100
D3,10,B22,100
G17,10,B23,100
K14,10,B23,100
L3,10,C2,100
A1,10,C2,100
E12,10,C3,100
H19,10,C3,100
I7,10,C4,100
J7,10,C4,100
E12,10,C5,100
L1,10,C5,100
K5,10,C6,100
D19,10,C6,100
K17,10,C7,100
H1,10,C7,100
O8,10,C8,100
E24,10,C8,100
P10,10,C9,100
D13,10,C9,100
P1,10,C10,100
C20,10,C10,100
L2,10,C11,100
D9,10,C11,100
J22,10,C12,100
D12,10,C12,100
B10,10,C13,100
M20,10,C13,100
K8,10,C14,100
K1,10,C14,100
D23,10,C15,100
K5,10,C15,100
A5,10,C16,100
D16,10,C16,100
O22,10,C17,100
L17,10,C17,100
D18,10,C18,100
K3,10,C18,100
F12,10,C19,100
P22,10,C19,100
J14,10,C20,100
O20,10,C20,100
M12,10,C21,100
B23,10,C21,100
M22,10,C22,100
N18,10,C22,100
B15,10,C23,100
B18,10,C23,100
P3,10,D2,100
B7,10,D2,100
K3,10,D3,100
M12,10,D3,100
O9,10,D4,100
B14,10,D4,100
I4,10,D5,100
A1,10,D5,100
C21,10,D6,100
C8,10,D6,100
H3,10,D7,100
M8,10,D7,100
K9,10,D8,100
P17,10,D8,100
N22,10,D9,100
L11,10,D9,100
F1,10,D10,100
N23,10,D10,100
L21,10,D11,100
P20,10,D11,100
O10,10,D12,100
P10,10,D12,100
O8,10,D13,100
J11,10,D13,100
C11,10,D14,100
K7,10,D14,100
K24,10,D15,100
B20,10,D15,100
J5,10,D16,100
M20,10,D16,100
L15,10,D17,100
J14,10,D17,100
P3,10,D18,100
I6,10,D18,100
N8,10,D19,100
A13,10,D19,100
E19,10,D20,100
J11,10,D20,100
C23,10,D21,100
A21,10,D21,100
M24,10,D22,100
N10,10,D22,100
L8,10,D23,100
G23,10,D23,100
K11,10,E2,100
E8,10,E2,100
F17,10,E3,100
G21,10,E3,100
M5,10,E4,100
O15,10,E4,100
A20,10,E5,100
N10,10,E5,100
D18,10,E6,100
J24,10,E6,100
F12,10,E7,100
J16,10,E7,100
F1,10,E8,100
H14,10,E8,100
B17,10,E9,100
C12,10,E9,100
L5,10,E10,100
B3,10,E10,100
G17,10,E11,100
H3,10,E11,100
B10,10,E12,100
D16,10,E12,100
P10,10,E13,100
I21,10,E13,100
P23,10,E14,100
K11,10,E14,100
E24,10,E15,100
F11,10,E15,100
F6,10,E16,100
M2,10,E16,100
C16,10,E17,100
J11,10,E17,100
D8,10,E18,100
B11,10,E18,100
J5,10,E19,100
K6,10,E19,100
L4,10,E20,100
F18,10,E20,100
P6,10,E21,100
M13,10,E21,100
N19,10,E22,100
F15,10,E22,100
O11,10,E23,100
D10,10,E23,100
H5,10,F2,100
O3,10,F2,100
I21,10,F3,100
H17,10,F3,100
F6,10,F4,100
G22,10,F4,100
B8,10,F5,100
E9,10,F5,100
P3,10,F6,100
D7,10,F6,100
A2,10,F7,100
E22,10,F7,100
O11,10,F8,100
C16,10,F8,100
B19,10,F9,100
K14,10,F9,100
O12,10,F10,100
B14,10,F10,100
J10,10,F11,100
L9,10,F11,100
K21,10,F12,100
A24,10,F12,100
K14,10,F13,100
K23,10,F13,100
G11,10,F14,100
H21,10,F14,100
I24,10,F15,100
M22,10,F15,100
I24,10,F16,100
D9,10,F16,100
A1,10,F17,100
L19,10,F17,100
A17,10,F18,100
F18,10,F18,100
I3,10,F19,100
C19,10,F19,100
I6,10,F20,100
K23,10,F20,100
I22,10,F21,100
P8,10,F21,100
H23,10,F22,100
K5,10,F22,100
B20,10,F23,100
C6,10,F23,100
P15,10,G2,100
O13,10,G2,100
P1,10,G3,100
J10,10,G3,100
J10,10,G4,100
P10,10,G4,100
L17,10,G5,100
D19,10,G5,100
F3,10,G6,100
F6,10,G6,100
L21,10,G7,100
B3,10,G7,100
E9,10,G8,100
B1,10,G8,100
I19,10,G9,100
N4,10,G9,100
N1,10,G10,100
O9,10,G10,100
L11,10,G11,100
O9,10,G11,100
N13,10,G12,100
F9,10,G12,100
M8,10,G13,100
M14,10,G13,100
G13,10,G14,100
I7,10,G14,100
C7,10,G15,100
D18,10,G15,100
L18,10,G16,100
I4,10,G16,100
C19,10,G17,100
M21,10,G17,100
E18,10,G18,100
O2,10,G18,100
P3,10,G19,100
B21,10,G19,100
I8,10,G20,100
M9,10,G20,100
N11,10,G21,100
B4,10,G21,100
K10,10,G22,100
G16,10,G22,100
O4,10,G23,100
G13,10,G23,100
C7,10,H2,100
A2,10,H2,100
M1,10,H3,100
L10,10,H3,100
B15,10,H4,100
K8,10,H4,100
D11,10,H5,100
G23,10,H5,100
N9,10,H6,100
N18,10,H6,100
J15,10,H7,100
L16,10,H7,100
L5,10,H8,100
L23,10,H8,100
K18,10,H9,100
G3,10,H9,100
K12,10,H10,100
H19,10,H10,100
E6,10,H11,100
I1,10,H11,100
I5,10,H12,100
P7,10,H12,100
J18,10,H13,100
D12,10,H13,100
D22,10,H14,100
G6,10,H14,100
H3,10,H15,100
P5,10,H15,100
K7,10,H16,100
O19,10,H16,100
I10,10,H17,100
G5,10,H17,100
M3,10,H18,100
H13,10,H18,100
A7,10,H19,100
J23,10,H19,100
F23,10,H20,100
F4,10,H20,100
F10,10,H21,100
M6,10,H21,100
F19,10,H22,100
M7,10,H22,100
K13,10,H23,100
K17,10,H23,100
E16,10,I2,100
I11,10,I2,100
K4,10,I3,100
A1,10,I3,100
P3,10,I4,100
K15,10,I4,100
K12,10,I5,100
I8,10,I5,100
H18,10,I6,100
N18,10,I6,100
H16,10,I7,100
K3,10,I7,100
C17,10,I8,100
C3,10,I8,100
G22,10,I9,100
K3,10,I9,100
N3,10,I10,100
L2,10,I10,100
