dest_plate,dest_row,dest_col,dest_well,fwd_idx,rev_idx,fwd_source_well,rev_source_well,plate_role,well_type,strain1,strain2,vol1_nL,vol2_nL,total_inoculum_nL,log2_inoculum_ratio,separation_bp
1,B,2,B2,22,46,C21,H22,primary_sequenced,pair,D9,E8,100,100,200,0.0,45
1,B,3,B3,40,8,G9,B18,primary_sequenced,pair,K12,D15,100,100,200,0.0,280
1,B,4,B4,79,55,M15,J16,primary_sequenced,pair,N18,O14,100,100,200,0.0,25
1,B,5,B5,47,83,G23,N24,primary_sequenced,pair,D24,J19,100,100,200,0.0,221
1,B,6,B6,51,60,I7,L2,primary_sequenced,pair,A7,C3,100,100,200,0.0,167
1,B,7,B7,77,59,M11,J24,primary_sequenced,mono,H8,H8,100,0,100,,-1
1,B,8,B8,3,9,A7,B20,primary_sequenced,pair,A13,J14,100,100,200,0.0,20
1,B,9,B9,5,34,A11,F22,primary_sequenced,techrep,H23,D24,100,100,200,0.0,213
1,B,10,B10,32,93,E17,P20,primary_sequenced,pair,D2,E5,100,100,200,0.0,17
1,B,11,B11,79,93,M15,P20,primary_sequenced,ratio,G21,P15,25,175,200,-2.807354922057604,220
1,B,12,B12,3,89,A7,P12,primary_sequenced,density,F15,O21,100,100,200,0.0,44
1,B,13,B13,86,43,O5,H16,primary_sequenced,mono,C14,C14,200,0,200,,-1
1,B,14,B14,23,55,C23,J16,primary_sequenced,techrep,A9,P4,100,100,200,0.0,49
1,B,15,B15,33,40,E19,H10,primary_sequenced,density,C22,O7,50,50,100,0.0,191
1,B,16,B16,90,59,O13,J24,primary_sequenced,pair,A20,O12,100,100,200,0.0,198
1,B,17,B17,22,33,C21,F20,primary_sequenced,pair,E4,L2,100,100,200,0.0,235
1,B,18,B18,20,25,C17,F4,primary_sequenced,ratio,E21,P15,150,50,200,1.584962500721156,266
1,B,19,B19,32,69,E17,L20,primary_sequenced,mono,P15,P15,200,0,200,,-1
1,B,20,B20,1,80,A3,N18,primary_sequenced,mono,P7,P7,100,0,100,,-1
1,B,21,B21,25,40,E3,H10,primary_sequenced,mono,P14,P14,100,0,100,,-1
1,B,22,B22,57,78,I19,N14,primary_sequenced,techrep,E20,G16,100,100,200,0.0,241
1,B,23,B23,27,14,E7,D6,primary_sequenced,pair,D17,B24,100,100,200,0.0,112
1,C,2,C2,40,74,G9,N6,primary_sequenced,mono,N10,N10,100,0,100,,-1
1,C,3,C3,3,19,A7,D16,primary_sequenced,pair,C16,D4,100,100,200,0.0,273
1,C,4,C4,16,43,C9,H16,primary_sequenced,pair,L24,A2,100,100,200,0.0,134
1,C,5,C5,20,27,C17,F8,primary_sequenced,ratio,E10,M11,100,100,200,0.0,20
1,C,6,C6,81,27,M19,F8,primary_sequenced,pair,M23,N9,100,100,200,0.0,285
1,C,7,C7,65,86,K11,P6,primary_sequenced,pair,H2,H5,100,100,200,0.0,271
1,C,8,C8,14,18,C5,D14,primary_sequenced,mono,B20,B20,100,0,100,,-1
1,C,9,C9,81,30,M19,F14,primary_sequenced,mono,I12,I12,100,0,100,,-1
1,C,10,C10,46,52,G21,J10,primary_sequenced,pair,H15,M4,100,100,200,0.0,247
1,C,11,C11,19,0,C15,B2,primary_sequenced,mono,K1,K1,200,0,200,,-1
1,C,12,C12,25,2,E3,B6,primary_sequenced,pair,J22,O8,100,100,200,0.0,189
1,C,13,C13,31,15,E15,D8,primary_sequenced,techrep,D6,B5,100,100,200,0.0,174
